
2024/10/04 (22:53:33) | ===> btop++ v.1.4.0
2024/10/04 (22:53:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (22:54:00) | ===> btop++ v.1.4.0
2024/10/04 (22:54:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (23:04:59) | ===> btop++ v.1.4.0
2024/10/04 (23:04:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (23:06:15) | ===> btop++ v.1.4.0
2024/10/04 (23:06:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (13:05:16) | ===> btop++ v.1.4.0
2024/10/07 (13:05:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (19:26:44) | ===> btop++ v.1.4.0
2024/10/07 (19:26:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (23:17:09) | ===> btop++ v.1.4.0
2024/10/07 (23:17:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (23:17:17) | ===> btop++ v.1.4.0
2024/10/07 (23:17:17) | WARNING: Intel GPU: Failed to initialize PMU
